WORD,FREQ
bird,475
birds,449
bug,57
bugs,106
bunnies,181
bunny,506
canine,130
cat,14796
catfish,92
cats,8277
chicken,387
crabs,66
crickets,188
dog,13111
dog's,620
doggy,85
dogs,6295
feline,282
ferret,114
ferrets,165
fish,3939
fishes,128
flea,346
fleas,410
goldfish,345
hamster,172
hamsters,109
horse,331
horses,316
kitten,1580
kitten's,61
kittens,1109
kitty,378
lizards,71
parrot,81
parrots,70
pup,270
puppies,520
puppy,1563
pups,68
rabbit,1721
rabbit's,77
rabbits,1346
rat,187
rats,177
reptile,160
snail,142
snails,296
snake,458
snakes,319
tick,169
tortoise,122
tuna,133
turkey,63
turtle,407
wolf,67
worms,199
ant,53
ants,105
kitties,59
lizard,52
reptiles,269
shrimp,218
tortoises,70
turtles,271
doggie,58
geckos,113
dragon,133
gecko,220
leopard,121
mite,25
worm,61
maggots,67
